KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K13299	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K21253	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K21264	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K21265	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K21888	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K23790	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K25210	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K29001	2.5.1.18
K00800	1	Prochlorococcus	2.5.1.19	K00800,K13830,K24018	K00800	2.5.1.19
K00800	1	Prochlorococcus	2.5.1.19	K00800,K13830,K24018	K13830	2.5.1.19
K00800	1	Prochlorococcus	2.5.1.19	K00800,K13830,K24018	K24018	2.5.1.19
K00806	1	Prochlorococcus	2.5.1.31	K00806	K00806	2.5.1.31
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K00811	2.6.1.1
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K00812	2.6.1.1
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K00813	2.6.1.1
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K11358	2.6.1.1
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K14454	2.6.1.1
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K14455	2.6.1.1
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K15849	2.6.1.1
K00817	1	Prochlorococcus	2.6.1.9	K00817	K00817	2.6.1.9
K00820	1	Prochlorococcus	2.6.1.16	K00820	K00820	2.6.1.16
K00822	1	Prochlorococcus	2.6.1.18	K00822	K00822	2.6.1.18
K00826	1	Prochlorococcus	2.6.1.42	K00826	K00826	2.6.1.42
K00830	1	Prochlorococcus	2.6.1.44,2.6.1.45,2.6.1.51	K00830,K13290,K00830,K00827,K00830,K14272	K00827	2.6.1.44,2.6.1.45,2.6.1.51
K00830	1	Prochlorococcus	2.6.1.44,2.6.1.45,2.6.1.51	K00830,K13290,K00830,K00827,K00830,K14272	K00830	2.6.1.44,2.6.1.45,2.6.1.51
K00830	1	Prochlorococcus	2.6.1.44,2.6.1.45,2.6.1.51	K00830,K13290,K00830,K00827,K00830,K14272	K13290	2.6.1.44,2.6.1.45,2.6.1.51
